"artist","song","song_length","session_id","item_in_session"
"Aesop Rock","One Brick","272.24771","672","28"
"The Mars Volta","Drunkship Of Lanterns","426.00444","672","29"
"Jonna Tervomaa","Kaiken se kÃÂ¤rsii","219.97669","672","30"
"Kings Of Leon","Use Somebody","231.81016","672","31"
"LMFAO / Lil Jon","Shots","222.17098","672","32"
"Global Deejays Feat. Rozalla","EverybodyÃÂ´s Free","398.52363","684","0"
"Ratt","Scratch That Itch (LP Version)","195.86567","672","33"
"Kings Of Leon","Revelry","201.79546","672","34"
"N.E.R.D.","Rock Star","259.23873","672","35"
"Future Rock","Gears","239.90812","612","0"
"Pride Tiger","The Lucky Ones","215.77098","672","36"
"Lady GaGa / Colby O'Donis","Just Dance","238.54975","672","37"
"Linkin Park","In The End (Album Version)","216.92036","612","1"
"Rapper K","Moving Forward (feat. Late_ M.E.N.I.S. & Caper)","328.51546","612","2"
"Nevermore","I Am The Dog","253.1522","672","38"
"Phoenix","Too Young","198.03383","672","39"
"Mt. St. Helens Vietnam Band","A Year Or Two","253.6224","612","3"
"Justice","D.A.N.C.E. [Live Version]","242.23302","672","40"
"Kings Of Leon","Joe's Head","201.32526","612","4"
"A Skylit Drive","City On The Edge Of Forever","206.18404","672","41"
"Muse","Resistance","346.69669","612","5"
"Superlitio","Te LastimÃÂ©","226.79465","672","42"
"Meteors","Yellow Zone","142.21016","612","6"
"Ray Barretto","Indestructible","251.79383","672","43"
"The Lonely Island / Justin Timberlake","Dick In A Box","161.01832","612","7"
"Foo Fighters","What If I Do?","302.91546","672","44"
"LMFAO","I'm In Miami Bitch","227.99628","612","8"
"Avenged Sevenfold","Shattered By Broken Dreams","426.13506","612","9"
"The Thrills","Hollywood Kids","332.9824","672","45"
"Patty Larkin","Don't","220.1073","672","46"
"Coldplay","Shiver","298.762","672","47"
"Coldplay","Yellow","268.38159","672","48"
"Taylor Swift","Crazier","192.73098","672","49"
"Brad Paisley With Andy Griffith","Waitin' On A Woman","302.70649","681","0"
"Fruko Y Sus Tesos","El Presidiario","261.11955","672","50"
"Fats Domino","Be My Guest","122.98404","672","51"
"Crippled Black Phoenix","A Lack of Common Sense","434.78159","672","52"
"BjÃÂ¶rk","Undo","348.57751","672","53"
"The Kills","Last Day Of Magic","203.38893","672","54"
"Lady GaGa / Colby O'Donis","Just Dance","238.54975","672","55"
"Kanye West","Flashing Lights","237.47873","672","56"
"M83","Noise","234.47465","672","57"
"Kix","Girl Money","246.25587","672","58"
"The Beatnuts","World Famous","267.36281","672","59"
"The Foreign Exchange","All That You Are (Instrumental)","249.20771","672","60"
"The View","Double Yellow Lines","249.49506","672","62"
"Britney Spears","(You Drive Me) Crazy (The Stop Remix!)","197.09342","666","2"
"New Young Pony Club","Architect Of Love","287.89506","672","63"
"Hot Chip","Beach Party","240.37832","666","3"
"Kanye West","Stronger","311.84934","672","64"
"OneRepublic","Good Life","253.25669","666","4"
"Tom Petty And The Heartbreakers","Baby's A Rock 'N' Roller (Album Version)","173.322","666","5"
"Everclear","Heartspark Dollarsign","172.22485","672","65"
"Phil Collins","You Can't Hurry Love","175.12444","672","66"
"Sister Hazel","Where Do You Go","243.25179","672","67"
"Dwight Yoakam","You're The One","239.3073","672","68"
"The Ruts","West One (Shine On Me)","338.96444","672","69"
"Evil Nine","The Wait (Feat. David Autokratz)","232.9073","672","70"
"Cat Stevens","Hard Headed Woman","229.19791","672","71"
"The B-52's","Love Shack","321.54077","672","72"
"Cheb Mami","A'rabti","229.32853","672","73"
"matchbox twenty","Unwell (Album Version)","229.14567","672","74"
"Depeche Mode","Personal Jesus","295.20934","672","75"
"Coheed and Cambria","The Light & The Glass","563.82649","672","76"
"Bob Lind","Elusive Butterfly","167.83628","672","77"
"Nightwish","Astral Romance","321.98485","672","78"
"Old 97's","Timebomb (LP Version)","188.73424","672","79"
"Young Money featuring Lloyd","BedRock (Radio Edit) (feat.Lloyd)","196.33587","672","80"
"Blind Guardian","The Eldar (Remastered)","218.22649","672","81"
"Stone Sour","Made Of Scars (Album Version)","203.67628","672","82"
"Daft Punk","Face To Face","239.80363","672","83"
"La Rue KÃÂ©tanou","Les hommes que j'aime","213.08036","672","84"
"James Blake","Footnotes","287.00689","706","0"
"Alex Ubago","No Te Rindas","249.41669","672","85"
"Metallica","Master Of Puppets","515.21261","672","86"
"September Malevolence","Nobody Noticed The Fire","823.74485","672","87"
"Morcheeba","Big Calm","360.48934","579","0"
"The Duckworth Lewis Method","Flatten the Hay","258.16771","579","1"
"CSS","Let's Make Love And Listen To Death From Above [Dan Carey Mix] (remastered album version)","213.75955","672","88"
"Stars","Elevator Love Letter","243.1473","579","2"
"The Black Keys","Tighten Up","211.01669","672","89"
"The All-American Rejects","Happy Endings","260.23138","467","1"
"Robert Plant","If I Were A Carpenter","226.48118","672","90"
"Gallows","Crucifucks (Album Version)","479.29424","672","91"
"Clara Nunes - Com Adoniran Barbosa","Iracema","241.162","672","92"
"BeyoncÃÂ©","Halo","261.74649","599","0"
"Vladislav Delay","I Saw A Polysexual","559.49016","672","93"
"The Pierces","Three Wishes (Gossip Girl Soundtrack Version)","222.58893","672","94"
"Kelis","Mars","315.19302","672","95"
"Linda Eder","Don't Rain On My Parade (from Funny Girl) (2007 Remastered LP Version)","180.92363","672","96"
"Airto Moreira","Berimbau First Cry","306.07628","672","97"
"Calvin Richardson","Intro","76.25098","672","98"
"Craig Mack","Flava In Your Ear","218.04363","672","99"
"Black Eyed Peas","Imma Be","257.54077","672","100"
"Remedy Drive","All Along (Album)","185.46893","672","101"
"Jarabe De Palo","Como peces en el agua","233.53424","672","102"
"Lunascape","Mindstalking (JD Sub's Solid verZion)","376.81587","672","103"
"Krista Detor","Robert Johnson Has Left Mississippi","249.73016","708","0"
"Happy Mondays","Holiday","208.74404","672","104"
"Kaya Project","Elixir (featuring Omar Farouk Teklibek)","370.65098","708","1"
"Cutting Crew","Fear Of Falling","293.22404","672","105"
"Less Than Jake","Scott Farcas Takes It On The Chin","154.48771","672","106"
"Chevelle","Wonder What's Next","250.06975","708","3"
"The Cinematic Orchestra","To Build A Home","373.9424","708","4"
"Between The Buried And Me","Mirrors","217.75628","708","5"
"Kealii Reichel","Kawaipunahele (Album Version)","287.65995","708","6"
"Tub Ring","Invalid","233.69098","708","7"
"Joe Christmas","Bedroom Suite","185.7824","708","8"
"Die Mooskirchner","Frisch und g'sund","169.29914","708","9"
"Devendra Banhart","Todo Los Dolores","150.41261","708","10"
"Method Man / Ghostface Killah / Solomon Childs / Streetlife","Smooth Sailing Remix","177.13587","708","11"
"Live","The Distance","231.78404","708","12"
"Kansas","Look At The Time","337.26649","708","13"
"Alain Clark","I Need You (Album)","219.27138","708","14"
"Bright Eyes","At The Bottom Of Everything","224.80934","708","15"
"Devendra Banhart","My Ships","97.43628","708","16"
"John Michael Montgomery","I Can Love You Like That (Remastered Version)","234.29179","708","17"
"The Pink Fairies","The Snake","236.40771","708","18"
"Simon Harris","Sample Track 2","195.83955","708","19"
"OneRepublic","Secrets","224.67873","708","20"
"Greg Adams","Wrapped Around Your Finger","285.57016","708","21"
"Colbie Caillat","I Never Told You","233.16853","708","22"
"The All-American Rejects","Stab My Back","189.25669","708","23"
"Third Day","God of Wonders","279.17016","708","24"
"Toby Keith","Weed With Willie","243.69587","708","25"
"Coldplay","Daylight","327.8624","708","26"
"Freefall Feat. Jan Johnston","Skydive (I Feel Wonderful)","532.11383","708","27"
"Roger Cicero","Frauen regier'n die Welt","176.97914","719","0"
"Lady GaGa / Colby O'Donis","Just Dance","238.54975","719","1"
"Hot Chip","We're Looking For A Lot Of Love","283.32363","688","0"
"Tenth Avenue North","Love Is Here","245.34159","711","1"
"Kid Cudi / Ratatat","Alive (nightmare)","246.72608","627","1"
"Cesaria Evora","Cabo Verde MandÃÂ¡ MantÃÂ©nha","241.78893","190","0"
"Iron Maiden","Holy Smoke","227.76118","651","0"
"Angels and Airwaves","The Gift","302.05342","190","1"
"Aaron Shust","Like I Never Felt Before","222.11873","190","2"
"John Mayer","Wait Until Tomorrow","259.16036","673","0"
"Yes","TO BE OVER","260.8322","477","0"
"Brooklyn Bounce","Get Ready To Bounce Recall 08","359.13098","477","1"
"Cold","Stupid Girl","189.83138","477","4"
"Parachute","She Is Love","146.05016","403","0"
"Ericke","The Beat Is Rockin (Original Mix)","435.93098","477","5"
"Weird Al Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)","202.47465","477","6"
"The Bucketheads","The Bomb (Little Louie Vega Bonus)","386.97751","477","7"
"Taylor Swift","Love Story","233.89995","477","8"
"JosÃÂ© Alfredo Jimenez Con Mariachi Vargas De Tecalitlan","El Rey","129.27955","477","9"
"The Black Keys","When The Lights Go Out","203.75465","696","0"
"Tennessee Ernie Ford","Sixteen Tons","157.1522","696","1"
"Neutral Milk Hotel","Gardenhead / Leave Me Alone","193.90649","696","2"
"Don Henley","Through Your Hands (Album Version)","257.41016","696","3"
"Nik BÃÂ¤rtsch's Ronin","MODUL 23","754.72934","696","4"
"Train","Explanation","270.18404","724","1"
"Bright Eyes","Arc Of Time (time Code) (Album Version)","234.34404","696","5"
"Usher featuring will.i.am","OMG","395.72853","696","6"
"Kaci Brown","Make You Love Me","201.29914","724","2"
"Todd Barry","Sugar Ray (LP Version)","126.82404","724","3"
"Gob","Ming Tran","154.17424","724","4"
"Soltero","Step Through The Door","191.7122","696","7"
"Dropkick Murphys","Johnny_ I Hardly Knew Ya","292.25751","724","5"
"The (International) Noise Conspiracy","T.I.M.E.B.O.M.B.","217.05098","696","8"
"Theory Of A Deadman","Little Smirk","211.66975","696","9"
"Phantom Planet","Do The Panic","205.06077","696","10"
"Panic At The Disco","Behind The Sea [Live In Chicago]","259.29098","696","11"
"Air France","Windmill Wedding","192.73098","696","12"
"Green Day","American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version)","185.12934","696","13"
"Sade","Nothing Can Come Between Us","236.40771","696","14"
"Jack Johnson","Holes To Heaven","169.66485","723","1"
"The Ordinary Boys","Boys Will Be Boys","162.87302","723","2"
"Radiohead","Creep (Explicit)","235.7024","723","3"
"Pieces Of A Dream","Ocean View","315.79383","723","4"
"Cartola","Tive Sim","127.242","723","5"
"Epica","Incentive (Bonus Track)","254.9024","723","6"
"Andreas Johnson","A Little Bit Of Love","190.17098","723","7"
"Sam Sparro","Black & Gold","210.33751","723","8"
"Boards of Canada","June 9th","317.70077","723","9"
"Sonny & Cher","What Now My Love (LP Version)","222.30159","723","10"
"Dakota Oak","Baker's Blue Jay Yarn","45.63546","723","11"
"Derek Webb","Please_ Before I Go","166.19057","723","12"
"The Hippos","Freeze Up","127.58159","723","13"
"Regina Spektor","The Calculation (Album Version)","191.08526","702","0"
"Dragonforce","Revolution Deathsquad (Album Version)","473.41669","601","0"
"Alliance Ethnik","ReprÃÂ©sente","252.21179","702","1"
"Dave Hollister","One Woman Man","271.62077","601","1"
"Dave Evans & Thunder Down Under","Somebody Better","201.01179","726","0"
"Los Alegres De Teran","Llore Por Tu Amor","164.54485","726","1"
"Leggo Beast","Itchy Feet","321.93261","726","2"
"Tiamat","Diyala","85.73342","726","3"
"Me In Motion","Here In The Middle","156.62975","726","7"
"Andre Hazes","Droomland (duet met Paul de Leeuw)","206.70649","683","1"
"Eva Cassidy","Autumn Leaves","289.56689","726","8"
"Coldplay","Shiver","298.762","683","2"
"Blind Melon","Walk","166.39955","726","9"
"Ry Cooder","Corrido de Boxeo","201.56036","632","0"
"Tom Petty","Runnin' Down A Dream","263.23546","632","1"
"Alanis Morissette","Citizen Of The Planet (Album Version)","262.32118","632","2"
"Graham Coxon","Freakin' Out","221.88363","632","3"
"Carpenters","(They Long To Be) Close To You","276.06159","632","4"
"The Sugarcubes","Blue Eyed Pop","156.96934","632","5"
"Just Jack","Mourning Morning","246.64771","624","1"
"Creedence Clearwater Revival","Lodi","190.77179","632","7"
"Smile Empty Soul","To The Ground","224.33914","624","2"
"Jason Mraz","I'm Yours (Album Version)","243.48689","632","8"
"RUN-DMC","It's Tricky","182.77832","624","3"
"The Union Underground","Natural High","206.96771","632","9"
"Jay-Jay Johanson","Waiting","246.64771","624","4"
"M.I.A.","Paper Planes","206.13179","632","10"
"Franz Ferdinand","Fade Together","183.35302","624","5"
"Todd Barry","Sugar Ray (LP Version)","126.82404","632","11"
"Rilo Kiley","With Arms Outstretched (Album Version)","222.06649","632","12"
"Paul Simon","The Sound Of Silence","189.72689","703","0"
"Crystal Castles","Year Of Silence","293.8771","570","1"
"Ultraje A Rigor","InÃÂºtil","214.282","594","0"
"Journey","When You Love A Woman","250.14812","594","1"
"John Mayer","Waiting On The World To Change","201.16853","594","2"
"The Decemberists","I Was Meant For the Stage","421.85098","594","3"
"Blue October","Come In Closer","325.90322","212","0"
"Priscilla Ahn","Dream","211.64363","594","4"
"John Hiatt","Something Wild","272.06485","594","5"
"Sauce Money Featuring Memphis Bleek","What We Do (Explicit) (Feat. Memphis Bleek)","280.21506","594","6"
"Alice Deejay","Better Off Alone","216.5024","594","7"
"Avenged Sevenfold","I Won't See You Tonight Part 1","538.30485","594","8"
"Alejandro Sanz","Non E_ Per Te_ Per Me","230.24281","725","0"
"Black Mountain","Stay Free (Album Version)","267.41506","725","1"
"Tom Petty","Runnin' Down A Dream","263.23546","594","9"
"Eddie Vedder","Guaranteed","164.17914","594","10"
"Alex Party","Don't Give Me Your Life","229.77261","594","12"
"Mission Of Burma","Comes Undone","188.1073","594","13"
"Camera Obscura","James","229.51138","594","14"
"Enya","May It Be (Album version)","212.32281","594","15"
"R.I.O.","When The Sun Comes Down","217.12934","594","16"
"Modest Mouse","Float On","209.52771","594","17"
"Bill Withers","Make Love To Your Mind","383.73832","594","18"
"Metallica","Ain't My Bitch","306.46812","594","19"
"AFI","Miseria Cantare--The Beginning","176.48281","594","20"
"Badly Drawn Boy","Wider Than a Smile","306.46812","594","21"
"Dante Thomas","Get It On","217.65179","594","22"
"Shinedown","Heroes (Album Version)","204.01587","594","23"
"MGMT","Time To Pretend","264.17587","682","1"
"Last Days Of April","Who's On The Phone?","185.39057","594","24"
"Corinne Bailey Rae","Another Rainy Day","192.86159","594","25"
"JosÃÂ© MercÃÂ©","Primavera","219.24526","594","26"
"Lady GaGa","Monster","249.20771","594","27"
"Javier Ruibal","Isla Mujeres","286.95465","594","28"
"Finntroll","SÃÂ¥ng","280.37179","594","29"
"Nada Surf","Popular (LP Version)","220.57751","594","30"
"Redbone","Sizzle Gets It Again","586.21342","594","31"
"A Fine Frenzy","Almost Lover (Album Version)","267.91138","256","0"
"Nirvana","Serve The Servants","214.77832","237","0"
"Television","See No Evil  (Remastered LP Version)","238.49751","237","1"
"JOHN COLTRANE","Blues To Bechet (LP Version)","346.43546","237","2"
"NOFX","It's My Job To Keep Punk Rock Elite","80.79628","237","3"
"The Backyardigans","Into The Thick Of It!","158.85016","237","4"
"Bruce Springsteen","Radio Nowhere","202.84036","237","5"
"Maroon 5","Harder To Breathe","173.66159","237","6"
"Two Door Cinema Club","What You Know","189.67465","237","7"
"Five Finger Death Punch","Meet the Monster","262.81751","237","8"
"Josh Turner","What It Ain't","207.93424","237","9"
"At The Drive-In","Sleepwalk Capsules","207.46404","237","10"
"Animal Collective","Summertime Clothes","269.81832","237","11"
"Ron Carter","I CAN'T GET STARTED","497.13587","237","12"
"Old 97's","Victoria (LP Version)","231.28771","237","13"
"Cyndi Lauper","True Colors","226.32444","237","14"
"Damien Rice","Amie","276.08771","237","15"
"Alicia Keys","If I Ain't Got You","229.0673","237","16"
"Lloyd Cole And The Commotions","Charlotte Street","235.31057","237","17"
"John Mayer","Heartbreak Warfare","269.71383","237","18"
"Joshua Radin","We Are Okay","161.69751","237","19"
"Kings Of Leon","Revelry","201.79546","237","20"
"Incubus","Dig","257.25342","237","21"
"Owl City","Tidal Wave","190.17098","237","22"
"Mediaeval Baebes","MÃÂ¤rk Hure VÃÂ¥r Skugga","219.29751","237","23"
"The Black Keys","The Only One","300.30322","226","0"
"Foo Fighters","All My Life","262.73914","226","1"
"Havok","Ivory Tower","227.68281","150","0"
"John Mayer","Half Of My Heart","250.38322","150","1"
"The Killers","I Can't Stay","185.33832","239","0"
"Thrice","The Red Death","134.60853","259","0"
"Alicia Keys","If I Ain't Got You","229.0673","259","1"
"Euge Groove","Tenderly","265.482","245","0"
"Metallica / Marianne Faithfull","The Memory Remains","279.11791","56","0"
"Nana Caymmi","Fim De Caso","174.41914","56","1"
"Johnny Burnette","I've Got A Lot Of Things To Do","134.84363","56","2"
"Arctic Monkeys","Fake Tales Of San Francisco","177.94567","56","3"
"DeGarmo & Key","I'm Accepted (The Pledge Album Version)","236.48608","224","1"
"Extrawelt","Stammgast","338.23302","232","1"
"Powderfinger","My Happiness","276.68853","129","0"
"Radiohead","Black Star","247.06567","129","1"
"Kid Cudi Vs Crookers","Day 'N' Nite","162.97751","242","0"
"Three Days Grace","Just Like You","186.90567","129","2"
"Monty Python","Comfy Chair (The Final Rip Off Remix)","15.85587","129","3"
"Rise Against","Long Forgotten Sons","241.55383","129","4"
"Jimmy Eat World","The Middle","166.00771","129","5"
"Rise Against","Under The Knife","165.14567","129","6"
"Chaka Khan","Ain't Nobody (Album Version)","280.86812","129","7"
"Paper Lace","The Night Chicago Died","192.07791","129","8"
"Pixies","Break My Body","113.78893","129","9"
"Wolfgang Gartner","Fire Power","415.97342","129","10"
"No Doubt","Sometimes","269.73995","59","0"
"The Lonely Island / Julian Casablancas","Boombox","192.9922","129","11"
"Eminem","The Real Slim Shady","284.18567","129","12"
"Martin Gore","By This River","241.10975","222","0"
"The Animals","For Miss Caulker (1999 Digital Remaster)","242.05016","129","13"
"Florence + The Machine","You've Got The Love","168.64608","222","1"
"Hot Water Music","The Sense","157.85751","129","14"
"Bill Withers","Make Love To Your Mind","383.73832","222","2"
"311","Eons","194.32444","129","15"
"Bloc Party","The Pioneers","215.11791","129","16"
"Nino Bravo","Amanecer","218.48771","222","3"
"JosÃÂ© GonzÃÂ¡lez","The Nest","143.93424","129","17"
"Taking Back Sunday","This Photograph Is Proof {I Know You Know] (Album Version)","249.99138","222","4"
"Jack Johnson","Better Together","207.64689","129","18"
"The Rolling Stones","Stop Breaking Down","274.1024","222","5"
"Euge Groove","Tenderly","265.482","129","19"
"School Of Seven Bells","Chain","262.37342","254","0"
"P!nk","Glitter In The Air","227.02975","222","6"
"Nancy Wilson","I Believe In You","122.77506","129","20"
"Enrique Iglesias","Ring My Bells","235.17995","129","21"
"Katie Melua","Scary Films","242.83383","222","7"
"Harmonia","Sehr kosmisch","655.77751","129","22"
"The RH Factor","Hold On","233.35138","222","8"
"Moose","Do You Remember","490.21342","267","1"
"KATAKLYSM","In Shadows And Dust","162.92526","222","9"
"Lily Allen","Everybody's Changing","159.84281","222","10"
"Florence + The Machine","Cosmic Love","258.55955","222","11"
"Placebo","Taste In Men","254.45832","129","23"
"DJ Dizzy","Sexy Bitch","221.1522","267","2"
"Camera Obscura","Anti-Western","188.02893","222","12"
"Nick Cave & The Bad Seeds","Spell","265.27302","129","24"
"Queens Of The Stone Age","God Is On The Radio","364.90404","267","3"
"Linkin Park","Bleed It Out [Live At Milton Keynes]","494.99383","222","13"
"Dwight Yoakam","You're The One","239.3073","129","25"
"mewithoutYou","Bullet To Binary (Pt. Two)","311.562","267","4"
"The New Pornographers","All The Things That Go To Make Heaven And Earth","189.02159","129","27"
"Edward Sharpe & The Magnetic Zeros","Home","306.31138","222","14"
"Diego Torres","SueÃÂ±os","227.18649","129","28"
"Francisca Valenzuela","MuÃÂ©rdete la lengua","174.70649","129","29"
"Pendulum","The Other Side (album version)","315.71546","222","15"
"Local Natives","Shape Shifter","330.89261","129","30"
"Daft Punk","Emotion","416.522","222","16"
"Soda Stereo","Danza Rota","211.61751","129","31"
"The Cardigans","Lovefool","198.21669","129","32"
"ETERNAL FEATURING BEBE WINANS","I Wanna Be The Only One","218.40934","222","17"
"Kings Of Leon","Revelry","201.79546","129","34"
"Julie Doiron","Me and My Friend","165.92934","222","18"
"Kinky","Cornman","211.90485","269","2"
"LU","Una Confusion","321.54077","129","35"
"Tub Ring","Invalid","233.69098","222","19"
"Nickel Creek","The Lighthouse's Tale","301.40036","269","3"
"Massive Attack","One Love","288.65261","222","20"
"Cut Copy","Strangers In The Wind","283.76771","129","36"
"Straylight Run","Existentialism On Prom Night (Album Version)","241.44934","269","4"
"Albert Hammond","Echame A Mi La Culpa","177.78893","222","21"
"Hercules And Love Affair","Blind (Full Album Version)","376.29342","129","37"
"Left Lane Cruiser","Amerika","183.27465","269","7"
"UB40","Come Back Darling","185.10322","222","22"
"Amon Amarth","Fate Of Norns","357.22404","269","8"
"Queensryche","Silent Lucidity (2002 Digital Remaster)","347.81995","222","23"
"Winds Of Plague","Reloaded","148.08771","269","9"
"Jackson 5","Ben","174.10567","222","24"
"Feist","My Moon My Man","184.94649","269","10"
"JosÃÂ© Gonzalez","Heartbeats","158.48444","222","25"
"Flobots","Handlebars (UK Radio Edit)","205.68771","269","11"
"Teriyaki Boyz","Heartbreaker","253.77914","222","26"
"Dwight Yoakam","You're The One","239.3073","269","12"
"Young Money featuring Lloyd","BedRock (Radio Edit) (feat.Lloyd)","196.33587","222","27"
"The Pussycat Dolls","When I Grow Up","245.18485","269","13"
"Koopsta Knicca","Top Secret","206.78485","222","28"
"The Knack","Let Me Out","141.58322","222","29"
"The Prodigy","Omen","215.77098","269","14"
"ZZ Top","Avalon Hideaway (LP Version)","187.8722","222","30"
"Caifanes","Cuentame Tu Vida","263.33995","269","15"
"Britt Nicole","Like A Star","232.85506","222","31"
"Jimmy Buffett","He Went To Paris","209.00526","269","19"
"Counting Crows","Mr. Jones","272.79628","269","20"
"8Ball & MJG","Intro (Explicit Album Version)","48.14322","269","21"
"SinÃÂ©ad O'Connor","I Want Your (Hands On Me)","282.51383","269","22"
"Vince Guaraldi Trio","Christmastime Is Here","368.29995","269","23"
"B*Witched","C'est La Vie","172.06812","269","24"
"Gyptian","Love Against the Wall","211.04281","269","25"
"The Ataris","I Won't Spend Another Night Alone","179.722","269","26"
"Adam Green","You Get So Lucky","143.49016","269","27"
"Marilyn Manson","Personal Jesus","247.01342","269","28"
"Bobby Blue Bland","I Pity the Fool","141.13914","269","29"
"David Banner","Play","232.75057","269","30"
"We The Kings featuring Demi Lovato","We'll Be A Dream (featuring Demi Lovato)","231.78404","269","31"
"Emiliana Torrini","Birds","383.50322","269","32"
"Garbage","Temptation Waits","277.39383","83","0"
"Linkin Park","New Divide (Album Version)","268.61669","269","33"
"Darius Rucker","It Won't Be Like This For Long","217.44281","83","1"
"The Strokes","Killing Lies","230.1122","83","2"
"Los Bunkers","Te Vistes Y Te Vas","209.97179","269","34"
"Ween","I'm Holding You (LP Version)","242.59873","269","36"
"Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire featuring Krayzie Bone)","170.21342","83","3"
"The Moody Blues","Tuesday Afternoon","258.71628","83","4"
"DESTRUCTION","Dictators Of Cruelty","226.97751","269","37"
"Carla Bruni","Quelqu'un M'a Dit (Album Version)","163.02975","269","38"
"En Vogue","Don't Let Go (Love)","289.01832","269","39"
"Eminem","Mockingbird","250.8273","269","40"
"Showbread","The Missing Wife","287.29424","269","45"
"Tracie Spencer","My First Broken Heart","272.45669","269","46"
"BeyoncÃÂ©","Halo","261.74649","269","47"
"Jack Johnson","Better Together","207.64689","269","48"
"Michael BublÃÂ©","Smile (Live)","226.0371","269","49"
"Epica","Martyr of the Free Word","303.20281","269","50"
"A Silent Film","You Will Leave a Mark","222.45832","269","51"
"BjÃÂ¶rk","Undo","348.57751","269","52"
"Vampire Weekend","Cape Cod Kwassa Kwassa (Album)","214.7522","269","53"
"Rammstein","BÃÂ¼ck Dich","201.50812","269","54"
"Junkie XL","Broken (featuring Grant Nicholas) (Album Version)","221.77914","269","55"
"Third Eye Blind","Company","232.77669","269","56"
"Evanescence","Bring Me To Life","236.12036","269","57"
"Jack Johnson","Cupid","65.802","269","58"
"Fergie","Clumsy","240.48281","269","59"
"Lily Allen","LDN","189.98812","269","61"
"The Black Seeds","Dance Dance","257.98485","269","62"
"Cassie","Call U Out (Album Version)","212.1922","269","63"
"The Rolling Stones","Too Tough (1994 Digital Remaster)","231.78404","269","64"
"Eminem","Without Me","251.55873","269","65"
"Creedence Clearwater Revival","Sweet Hitch-Hiker","175.80363","269","66"
"Heltah Skeltah","Place To Be (Explicit)","165.642","269","67"
"Redman","Pick It Up","251.53261","269","68"
"Camila","Alejate De Mi","258.53342","269","69"
"Pearl Jam","Encore Break","67.44771","268","1"
"Faith No More","Last Cup Of Sorrow","249.86077","268","2"
"Liquid Tension Experiment","Paradigm Shift","535.35302","269","70"
"Fleetwood Mac","World Turning (LP Version)","265.92608","269","71"
"Creedence Clearwater Revival","Midnight Special","253.90975","90","1"
"The Ruts","West One (Shine On Me)","338.96444","269","72"
"Steve Miller Band","The Joker","263.96689","90","2"
"The Kingstonians","Winey Winey","172.90404","263","0"
"Staind","Everything Changes (Album Version)","239.5424","269","73"
"Bon Jovi","It's My Life","224.522","90","3"
"Chris Brown featuring T-Pain","Kiss Kiss","250.67057","269","74"
"Regina Spektor","The Calculation (Album Version)","191.08526","23","0"
"Lamb","Feela","1031.75791","269","75"
"Octopus Project","All Of The Champs That Ever Lived","250.95791","23","1"
"Tegan And Sara","So Jealous","180.06159","23","2"
"Dragonette","Okay Dolores","153.39057","23","3"
"Lil Wayne / Eminem","Drop The World","229.58975","23","4"
"Soulja Boy Tell'em","Let Me Get Em","201.11628","23","5"
"Audio Adrenaline","Free Ride","202.52689","147","0"
"Bodo Wartke","Liebeslied (Sprachen: Deutsch_ Englisch_ FranzÃÂ¶sisch_ Italienisch_ Spanisch_ HollÃÂ¤ndisch_ Japanisch_ Russisch_ Griechisch_ Klingonisch_ Hessisch)","645.27628","23","6"
"Prince & The New Power Generation [with Eric Leeds on Flute]","Gett Off","272.63955","269","76"
"The Format","Inches And Falling (I Love_ Love)","208.24771","147","1"
"Black Eyed Peas","Pump It","214.93506","219","1"
"Wilco","Heavy metal drummer","188.83873","147","2"
"NOFX","Monosyllabic Girl","54.59546","269","77"
"Cabaret Voltaire","Playing For Time","430.602","274","1"
"Air","Venus","244.50567","269","78"
"Coldplay","Til Kingdom Come","249.75628","147","3"
"Rosana","Llegaremos a tiempo","330.1873","269","79"
"Evanescence","Bring Me To Life","237.11302","23","7"
"Frumpies","Fuck Kitty","134.47791","147","4"
"Plies","Somebody (Loves You) (Explicit Album Version)","278.22975","208","0"
"TitÃÂ£s","PolÃÂ­cia","131.00363","147","5"
"Van Halen","Good Enough","243.17342","23","8"
"Snow Patrol","Engines","307.59138","269","82"
"Kiss","I Was Made For Lovin' You","268.30322","147","6"
"The Academy Is...","Paper Chase (Album Version)","209.76281","23","9"
"The Prodigy","Weather Experience (Top Buzz Remix)(Remastered)","414.11873","147","7"
"Bill Withers","Make Love To Your Mind","383.73832","269","85"
"Dwight Yoakam","You're The One","239.3073","23","10"
"The Far East Movement featuring Wiz Khalifa and Bionik","Lowridin","265.50812","23","11"
"Deep Dish","Sacramento (Club Mix Edit)","439.92771","147","8"
"Amon Amarth","The Hero","238.52363","23","12"
"Jim White","Still Waters","396.22485","147","9"
"Modest Mouse","The Good Times Are Killing Me","259.47383","23","13"
"Bad Company","Morning Sun","246.96118","23","14"
"Five Iron Frenzy","Canada","236.09424","147","10"
"Bodyrox","Yeah Yeah","490.78812","23","16"
"Louise Attaque","Est-ce que tu m'aimes encore ?","177.76281","147","11"
"The Pussycat Dolls / Busta Rhymes","Don't Cha","272.14322","147","12"
"Thursday","Signals Over The Air","250.17424","255","0"
"Alberto Plaza","Yo Te Seguire (vivo)","291.5522","23","17"
